id,title,price,location,image_url,product_url
155,Chiot Bichon Maltais,80000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5085579_uploaded_image1_1733854971.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-5085579
156,Berger malinois,250000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5078573_uploaded_image1_1733447779.jpg,https://sn.coinafrique.com/annonce/chiens/berger-malinois-5078573
158,Caniche mâle,650000.0,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5054275_uploaded_image1_1732162667.jpg,https://sn.coinafrique.com/annonce/chiens/caniche-male-5054275
159,Chiot chihuahuas,250000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5045245_uploaded_image1_1731667358.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-chihuahuas-5045245
160,Chiot Rottweiler,300000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5044649_uploaded_image1_1731627517.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-rottweiler-5044649
162,Chiot Berger Allemand,350000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5016564_uploaded_image1_1730217865.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5016564
163,Chiots Berger Allemand,250000.0,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_5013765_uploaded_image1_1730056659.jpg,https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-5013765
164,Chiot Berger Allemand,130000.0,"Niaga, Sénégal",https://images.coinafrique.com/thumb_5006641_uploaded_image1_1729624663.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5006641
165,Chiot Rottweiler,250.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5004868_uploaded_image1_1729539442.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-rottweiler-5004868
168,Berger allemand femelle,155000.0,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_4996897_uploaded_image1_1729087539.jpg,https://sn.coinafrique.com/annonce/chiens/berger-allemand-femelle-4996897
169,Chiot Bichon Maltais,300000.0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4993670_uploaded_image1_1728931466.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-4993670
170,Chien,350000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4969495_uploaded_image1_1727744912.jpg,https://sn.coinafrique.com/annonce/chiens/chien-4969495
171,Bichon maltais pur race,180000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4968565_uploaded_image1_1727702109.jpg,https://sn.coinafrique.com/annonce/chiens/bichon-maltais-pur-race-4968565
172,Bichon maltais,180000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4968555_uploaded_image1_1727701801.jpg,https://sn.coinafrique.com/annonce/chiens/bichon-maltais-4968555
173,Chiots croisé Boer et Root,150000.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4919750_uploaded_image1_1725108338.jpg,https://sn.coinafrique.com/annonce/chiens/chiots-croise-boer-et-root-4919750
174,chiot boerboel,500000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4960771_uploaded_image1_1727238490.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-boerboel-4960771
175,Chiot Bichon Maltais,120000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4953991_uploaded_image1_1726857246.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-4953991
177,Chiot Bichon,120000.0,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4951836_uploaded_image1_1726753152.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-bichon-4951836
