id,name,price,address,image_url,product_url
66,Chaton Scottish,500000.0,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_5234859_uploaded_image1_1742137563.jpg,https://sn.coinafrique.com/annonce/autres-animaux/chaton-scottish-5234859
68,Perroquet,60000.0,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5214349_uploaded_image1_1741104524.jpg,https://sn.coinafrique.com/annonce/autres-animaux/perroquet-5214349
69,Chaton Angora,210000.0,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5213818_uploaded_image1_1741086286.jpg,https://sn.coinafrique.com/annonce/autres-animaux/chaton-angora-5213818
70,Boeuf,550.0,"Niaga, Sénégal",https://images.coinafrique.com/thumb_5205943_uploaded_image1_1740671058.jpg,https://sn.coinafrique.com/annonce/autres-animaux/boeuf-5205943
71,Hamster,15000.0,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5189132_uploaded_image1_1739782582.jpg,https://sn.coinafrique.com/annonce/autres-animaux/hamster-5189132
73,Caille,15000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5182728_uploaded_image1_1739380241.jpg,https://sn.coinafrique.com/annonce/autres-animaux/caille-5182728
75,Perroquet perruches ondulées,20000.0,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5138284_uploaded_image1_1737038687.jpg,https://sn.coinafrique.com/annonce/autres-animaux/perroquet-perruches-ondulees-5138284
76,Perroquets,15000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_5125396_uploaded_image1_1736351628.jpg,https://sn.coinafrique.com/annonce/autres-animaux/perroquets-5125396
77,Perruches ondulées,20000.0,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5103176_uploaded_image1_1734884464.jpg,https://sn.coinafrique.com/annonce/autres-animaux/perruches-ondulees-5103176
79,Chaton Siamois,235000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5092278_uploaded_image1_1734215302.jpg,https://sn.coinafrique.com/annonce/autres-animaux/chaton-siamois-5092278
80,Poissons Aquarium,8500.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5068623_uploaded_image1_1732965550.jpg,https://sn.coinafrique.com/annonce/autres-animaux/poissons-aquarium-5068623
81,Tortues terrestres,35000.0,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5066823_uploaded_image1_1732865161.jpg,https://sn.coinafrique.com/annonce/autres-animaux/tortues-terrestres-5066823
82,Bœuf,800000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5054269_uploaded_image1_1732160455.jpg,https://sn.coinafrique.com/annonce/autres-animaux/buf-5054269
83,Bœuf,800000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5054268_uploaded_image1_1732160128.jpg,https://sn.coinafrique.com/annonce/autres-animaux/buf-5054268
84,Chat Persan,400000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5050095_uploaded_image1_1731948012.jpg,https://sn.coinafrique.com/annonce/autres-animaux/chat-persan-5050095
85,Bœufs,800000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5042261_uploaded_image1_1731516188.jpg,https://sn.coinafrique.com/annonce/autres-animaux/bufs-5042261
86,Mondain,140000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5041931_uploaded_image1_1731508632.jpg,https://sn.coinafrique.com/annonce/autres-animaux/mondain-5041931
87,Himalayen,265000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5041105_uploaded_image1_1731466674.jpg,https://sn.coinafrique.com/annonce/autres-animaux/himalayen-5041105
88,persan pure race,400000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5041103_uploaded_image1_1731467091.jpg,https://sn.coinafrique.com/annonce/autres-animaux/persan-pure-race-5041103
89,British et scottish pure race,650000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5041101_uploaded_image1_1731465886.jpg,https://sn.coinafrique.com/annonce/autres-animaux/british-et-scottish-pure-race-5041101
90,Dindes,25000.0,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5035473_uploaded_image1_1731162862.jpg,https://sn.coinafrique.com/annonce/autres-animaux/dindes-5035473
91,Bœuf,300000.0,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_5022926_uploaded_image1_1730540052.jpg,https://sn.coinafrique.com/annonce/autres-animaux/buf-5022926
92,Chaton de 1 mois,20000.0,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5017864_uploaded_image1_1730286261.jpg,https://sn.coinafrique.com/annonce/autres-animaux/chaton-de-1-mois-5017864
93,Caille,1500.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5001807_uploaded_image1_1729346954.jpg,https://sn.coinafrique.com/annonce/autres-animaux/caille-5001807
95,Chat Siamois,170000.0,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4997392_uploaded_image2_1729102102.jpeg,https://sn.coinafrique.com/annonce/autres-animaux/chat-siamois-4997392
96,Bœuf,700000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4996496_uploaded_image1_1729075617.jpg,https://sn.coinafrique.com/annonce/autres-animaux/buf-4996496
98,Tortue,35000.0,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_4976748_uploaded_image1_1728036550.jpg,https://sn.coinafrique.com/annonce/autres-animaux/tortue-4976748
100,Perroquet,399000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4967605_uploaded_image1_1727643698.jpg,https://sn.coinafrique.com/annonce/autres-animaux/perroquet-4967605
101,Œufs de caille,4500.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4962446_uploaded_image1_1727306903.jpg,https://sn.coinafrique.com/annonce/autres-animaux/ufs-de-caille-4962446
102,Cailles de chair,2500.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_4957482_uploaded_image1_1727090624.jpg,https://sn.coinafrique.com/annonce/autres-animaux/cailles-de-chair-4957482
103,Chaton,50000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4956743_uploaded_image1_1727042864.jpg,https://sn.coinafrique.com/annonce/autres-animaux/chaton-4956743
104,Pintade noire,800000.0,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_4942157_uploaded_image1_1726204107.jpg,https://sn.coinafrique.com/annonce/autres-animaux/pintade-noire-4942157
105,Chaton Persan Peaky Face,590000.0,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4941927_uploaded_image1_1726184064.jpg,https://sn.coinafrique.com/annonce/autres-animaux/chaton-persan-peaky-face-4941927
106,Chat,350000.0,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4928423_uploaded_image1_1725508257.jpg,https://sn.coinafrique.com/annonce/autres-animaux/chat-4928423
108,Poussins de canard,2500.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4917429_uploaded_image1_1724966703.jpg,https://sn.coinafrique.com/annonce/autres-animaux/poussins-de-canard-4917429
110,Perroquets,50000.0,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4903200_uploaded_image1_1724163057.jpg,https://sn.coinafrique.com/annonce/autres-animaux/perroquets-4903200
111,Poisson Aquarium,8500.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4898597_uploaded_image1_1723887709.jpg,https://sn.coinafrique.com/annonce/autres-animaux/poisson-aquarium-4898597
113,Chatons persans chinchillas purs,550000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4888897_uploaded_image1_1723397770.jpg,https://sn.coinafrique.com/annonce/autres-animaux/chatons-persans-chinchillas-purs-4888897
114,Autruche,750000.0,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_4885138_uploaded_image1_1723173640.jpg,https://sn.coinafrique.com/annonce/autres-animaux/autruche-4885138
115,Œufs de caille,3000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_4880858_uploaded_image1_1722971406.jpg,https://sn.coinafrique.com/annonce/autres-animaux/ufs-de-caille-4880858
116,Œufs de caille,3000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_4880849_uploaded_image1_1722971092.jpg,https://sn.coinafrique.com/annonce/autres-animaux/ufs-de-caille-4880849
118,Vache,350000.0,"Gassane, Sénégal",https://images.coinafrique.com/thumb_4864739_uploaded_image1_1722168896.jpg,https://sn.coinafrique.com/annonce/autres-animaux/vache-4864739
119,Chaton hiamalayen,200000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4864117_uploaded_image1_1722115248.jpg,https://sn.coinafrique.com/annonce/autres-animaux/chaton-hiamalayen-4864117
120,Siamois,200000.0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4855435_uploaded_image1_1721662817.jpg,https://sn.coinafrique.com/annonce/autres-animaux/siamois-4855435
