title,price,location,image,url
Berger Malinois Métis,200000,"Sacré-Coeur, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/berger-malinois-metis-5389289
Chiot Husky male,350000,"Sacré-Coeur, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-husky-male-5385417
Chiot Berger malinois,300000,"Rufisque, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-berger-malinois-5384862
Chiots Bichons Maltais,150000,"Sicap Liberté, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiots-bichons-maltais-5383547
Chiot Berger Allemand,Prixsurdemande,"Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5379393
Chiot Berger Allemand,160000,"Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5379204
Chiots Bichons maltais,150000,"Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiots-bichons-maltais-5377145
Chiot Berger allemand,150000,"Pikine, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5376933
Chiots malamute pure,Prixsurdemande,"Almadies 2, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiots-malamute-pure-5368072
Métisse rock berger,75000,"Mamelles, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/metisse-rock-berger-5360685
Husky et Rotweiller,300000,"Sacré-Coeur, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/husky-et-rotweiller-5357616
Chiots bichon,200000,"Mamelles, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiots-bichon-5357093
Chiots Bouvier Bernois,Prixsurdemande,"Almadies 2, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiots-bouvier-bernois-5356412
Chiot Américain,200,"Thies, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-americain-5353266
Chiots Berger Allemand,175000,"Mbao, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-5352744
Chiots Husky,300000,"Ouest Foire, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiots-husky-5341514
Chien,130000,"Almadies, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chien-5341402
Chiots Malinois,Prixsurdemande,"Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiots-malinois-5341165
Berger Allemand,150000,"Pikine, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/berger-allemand-5340528
Chiot Boerboul,275,"Pikine, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-boerboul-5338244
Chiot Berger Allemand,250000,"Fann, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5336125
Chiot Pitbull Terrier,250000,"Thies, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-pitbull-terrier-5335882
Chien de salon,150000,"Almadies, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chien-de-salon-5332506
Chiot Husky,300000,"Sacré-Coeur, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-husky-5328800
Chiot Bichon Havanais,150000,"Ouakam, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-bichon-havanais-5326499
Chiot Spitz Nain,800000,"Thies, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-spitz-nain-5326291
Chiot Bichon Maltais,115000,"Dieuppeul-Derklé, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-5326102
Chiot Rottweiller,Prixsurdemande,"Almadies 2, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-rottweiller-5323434
Chiot Husky,Prixsurdemande,"Sacré-Coeur, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-husky-5322117
Chiot Bichon,Prixsurdemande,"Almadies 2, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-bichon-5321857
Chiot Berger Allemand,150000,"Thies, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5321695
Chiot Rotweiller,350000,"Sacré-Coeur, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-rotweiller-5321351
Chiot Cavalier king,Prixsurdemande,"Almadies 2, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-cavalier-king-5319622
Chiot Berger allemand,200000,"Sacré-Coeur, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5317080
Chiots Labradors,120000,"Thies, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiots-labradors-5316749
Vente Berger Femelle,400,"Guediawaye, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/vente-berger-femelle-5305053
Chiot Pitbull Terrier,Prixsurdemande,"Mbour, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-pitbull-terrier-5303725
Chiot,380000,"Almadies, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-5302773
Chiot femelle cane corso,350000,"Sacré-Coeur, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-femelle-cane-corso-5299584
Chiot Berger Allemand,200000,"Sacré-Coeur, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5298958
Chiot Berger Allemand,Prixsurdemande,"Sacré-Coeur, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5293825
Chiot Berger allemand,250000,"Mbour, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5290700
Chiens malinois,Prixsurdemande,"Thies, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiens-malinois-5277780
Chiot Bichon Havanais,150000,"Ouakam, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-bichon-havanais-5272964
Chiot Berger Allemand,150000,"Sacré-Coeur, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5268192
